4207	環泰
4303	信立
4304	勝昱
4305	世堃
4306	炎洲
4401	東隆興
4402	福大
4406	新昕纖
4408	聯明
4413	飛寶
4414	如興
4415	美嘉電
4416	三圓
4417	金洲
4419	松懋
4420	光明
4426	利勤
4502	源恆
4503	金雨
4506	崇友
4510	高鋒
4513	福裕
4522	大寶
4523	永彰
4526	東台
4527	堃霖
4528	江興
4529	力武
4530	宏易
4531	巨庭
4532	瑞智
4533	協易機
4534	三林
4535	至興
4609	唐鋒
4702	中美實
4703	美克能
4706	大恭
4707	磐亞
4711	永純
4712	南璋
4714	永捷
4716	大立
4720	德淵
4721	美琪瑪
4722	國精化
4725	信昌化
4801	瑪斯特
4903	聯光通
4904	遠傳
4905	台聯電
4906	正文
4907	正華
4908	前鼎
4909	新復興
5002	住聯
5007	三星
5009	榮剛
5011	久陽
5013	強新
5014	建錩
5015	華祺
5016	松和
5102	富強
5201	凱衛
5202	力新
5203	訊連
5204	得捷
5205	漢康
5206	經緯
5207	飛雅
5209	新鼎
5210	寶碩
5211	蒙恬
5212	凌網
5213	力昕
5301	祥裕電
5302	太欣
5304	鼎創達
5305	敦南
5306	訊康
5309	系統
5310	天剛
5312	寶島科
5314	世紀
5315	光聯
5317	凱美
5318	佳鼎
5321	友銓
5324	德豐
5326	漢磊
5328	華容
5333	佳茂
5340	建榮
5344	立衛
5345	天揚
5346	力晶
5347	世界
5348	系通
5349	先豐
5351	鈺創
5353	台林
5355	佳總
5356	協益
5364	浩騰
5371	中光電
5372	十美
5376	東正元
5381	合正
5383	金利
5384	捷元
5386	青雲
5387	茂德
5388	中磊
5392	應華
5395	普揚
5398	力瑋
5401	第三波
5403	中菲
5410	國眾
5425	台半
5426	振發
5432	達威
5434	崇越
5438	東友
5439	高技
5443	均豪
5450	寶聯
5452	佶優
5455	訊利電
5457	宣德
5460	同協
5464	霖宏
5465	富驊
5466	泰林
5467	聯福生
5468	凱鈺
5469	瀚宇博
5471	松翰
5474	聰泰
5475	德宏
5478	智冠
5480	統盟
5481	華韡
5483	中美晶
5484	慧友電
5487	通泰
5488	松普
5489	彩富
5490	同亨
5491	連展
5492	亞智科
5493	三聯
5498	凱崴
5503	榮美
5504	信南
5505	和旺
5506	長鴻
5508	永信建
5511	德昌
5512	力麒
5513	德利
5514	三豐
5515	建國
5516	雙喜
5519	隆大
5520	力泰
5521	工信
5522	遠雄
5523	宏都
5525	順天
5529	志嘉
5530	大漢
5531	鄉林
5533	皇鼎
5534	長虹
5601	台聯
5603	陸海
5604	中連運
5607	遠雄港
5608	四維航
5609	中菲行
5701	劍湖山
5703	亞都
5704	老爺知
5706	鳳凰
5818	僑銀
5819	玉山票
5820	日盛金
5854	合庫
5902	德記
5903	全家
5905	南仁湖
6005	群益證
6008	凱基證
6012	金鼎證
6015	宏遠證
6016	康和證
6020	大展證
6021	大慶證
6022	大眾證
6023	寶來期
6101	弘捷
6103	合邦
6104	創惟
6105	瑞傳
6107	華美
6108	競國
6109	亞元
6111	大宇資
6112	聚碩
6113	亞矽
6114	翔昇
6115	鎰勝
6116	彩晶
6117	迎廣
6118	建達
6119	大傳
6120	輔祥
6121	新普
6122	擎邦
6123	上奇
6124	業強
6125	廣運
6126	信音
6127	九豪
6128	上福
6129	普誠
6130	亞全
6131	悠克
6133	金橋
6134	萬旭
6135	佳營
6136	富爾特
6138	茂達
6139	亞翔
6140	訊達
6141	柏承
6142	友勁
6143	振曜
6144	得利影
6145	勁永
6146	耕興
6147	頎邦
6148	驊宏資
6149	軍成
6150	撼訊
6151	晉倫
6152	百一
6153	嘉聯益
6154	順發
6155	鈞寶
6156	科橋
6158	禾昌
6159	詮鼎
6160	欣技
6161	捷波
6163	華電網
6164	華興
6165	捷泰
6166	凌華
6167	久正
6168	宏齊
6169	昱泉
6170	統振
6171	亞銳士
6172	互億
6173	信昌電
6174	安碁
6175	立敦
6176	瑞儀
6177	達麗
6179	世仰
6180	橘子
6182	合晶
6183	關貿
6184	大豐電
6185	幃翔
6186	晶磊
6187	萬潤
6188	廣明
6190	萬泰科
6191	精成科
6192	巨路
6194	育富
6195	旭展
6196	帆宣
6197	佳必琪
6198	凌泰
6199	精威
6201	亞弘
6202	盛群
6203	海韻電
6204	艾華
6205	詮欣
6206	飛捷
6207	雷科
6208	日揚
6209	今國光
6210	慶生
6211	福登
6212	理銘
6213	聯茂
6214	精誠
6215	和椿
6216	居易
6217	中探針
6218	豪勉
6219	視達
6220	岳豐
6221	晉泰
6222	上揚
6223	旺矽
6224	聚鼎
6225	天瀚
6226	光鼎
6227	茂綸
6228	全譜
6229	研通
6230	超眾
6231	系微
6232	仕欽
6233	旺玖
6234	高僑
6235	華孚
6236	凌越
6237	驊訊
6238	巨圖
6239	力成
6240	統一元
6241	易通展
6243	迅杰
6244	茂迪
6245	立端
6246	臺龍
6247	淇譽電
6248	沛波
6250	宇加
6255	奈普
6257	矽格
6259	百徽
6261	久元
6263	普萊德
6264	德士通
6265	堃昶
6266	泰詠
6269	台郡
6270	倍微
6271	同欣電
6274	台燿
6275	元山
6276	名鐘
6277	宏正
6278	台表科
6279	胡連
6281	全國電
6282	康舒
6283	淳安
6284	佳邦
6285	啟碁
6286	立錡
6287	元隆
6289	華上
6290	良維
6291	沛亨
6292	迅德
6294	智基
6298	崴強
6401	助群
6402	基泰營
6505	台塑化
6508	惠光
6509	聚和
6603	富強鑫
6605	帝寶
6609	瀧澤
8007	商合行
8008	建興電
8010	益和
8014	宏廣
8016	矽創
8017	展茂
8021	尖點
8024	佑華
8032	光菱
8033	雷虎
8034	榮群
8039	台虹
8040	九暘電
8042	金山電
8043	蜜望實
8044	網家
8046	南電
8047	星雲
8049	晶采
8050	廣積
8053	巨擘
8054	安國
8064	東捷
8066	福陞科
8067	志旭
8068	全達
8069	元太
8070	長華
8071	豐聲
8072	陞泰
8074	鉅像
8076	伍豐
8077	冠華
8078	華寶
8079	誠遠
8080	奧斯特
8081	致新
8082	捷超
8083	瑞穎
8084	巨虹
8085	福華
8086	宏捷科
8087	華鎂鑫
8088	品安
8091	翔名
8092	建暐
8093	保銳
8096	擎亞
8097	鴻松
8099	大世科
8101	華冠
8103	瀚荃
8105	凌巨
8107	大億科
8109	博大
8110	華東
8111	立碁
8112	至上
8114	振樺電
8121	越峰
8131	福懋科
8163	達方
8182	加高
8183	精星
8201	無敵
8210	勤誠
8234	新漢
8240	華宏
8249	菱光
8255	朋程
8261	富鼎
8266	中日新
8277	商承
8287	英格爾
8289	泰藝電
8299	群聯
8349	友信
8354	冠郝
8374	羅昇
8383	千附
8390	金益鼎
8701	正豐
8705	東隆
8709	峰安
8714	紐新
8717	瑞圓
8905	裕國
8906	花王
8908	欣雄
8913	華夏資
8916	光隆
8917	欣泰
8921	沈氏
8923	時報
8924	大田
8925	偉盟
8926	台汽電
8927	北基
8928	鉅明
8929	富堡
8930	青鋼
8931	大汽電
8932	宏大
8933	愛地雅
8934	世恒
8935	邦泰
8937	合騏
8938	明安
8940	新天地
8941	關中
8942	森鉅
8996	高力
9101	福雷電
9102	東亞科
9103	美德醫
9104	萬宇
9105	泰金寶
9902	台火
9904	寶成
9905	大華
9906	興達
9907	統一實
9908	大台北
9910	豐泰
9911	櫻花
9912	偉聯
9914	美利達
9915	億豐
9917	中保
9918	欣天然
9919	康那香
9921	巨大
9922	優美
9924	福興
9925	新保
9926	新海
9927	泰銘
9928	中視
9929	秋雨
9930	中聯資
9931	欣高
9933	中鼎
9934	成霖
9935	慶豐富
9937	全國
9938	百和
9939	宏全
9940	信義
9941	裕融
9942	茂順
9943	好樂迪
9944	新麗
9945	潤泰新
9946	金革
9949	琉園
9950	萬國通
9951	皇田
9955	佳龍
9958	世紀鋼
9960	邁達康
9962	有益
1734	杏揮
