3950,23電子.csv
公司,年,市值(百萬元),dmv1,dmv2,股東權益總額,dna1,dna2,本期稅後淨利,de1,de2,營業費用─研究發展,rd1,rd2,普通股─現金股利,dd1,dd2,利息支出,di1,di2,現金及約當現金,dcash,資產總額,固定資產,ROA(C)稅前息前折舊前,ROAP,十大股東持股(不含董監)%,GOVP,負債比率％,負債總額,流動負債,流動資產
,,,dmv1,dmv2,,dna1,dna2,,de1,de2,,rd1,rd2,,dd1,dd2,,di1,di2,,dcash,,,,ROAP,,GOVP,,,,
1437 勤益,12/28/1991,7413,NA,NA,1910249,NA,NA,48816,NA,NA,0,NA,NA,39020,NA,NA,7926,NA,NA,288134,NA,2293900,774870,4.78,NA,26.58,NA,16.72,383651,97800,990913
1437 勤益,12/29/1992,4614,-2799,NA,1923684,13435,NA,52455,3639,NA,0,0,NA,0,-39020,NA,5625,-2301,NA,180133,-108001,2305309,798429,5.02,4.78,7.23,26.58,16.55,381625,88804,831570
1437 勤益,12/31/1993,12632,8018,5219,1989087,65403,78838,65702,13247,16886,0,0,0,23412,23412,-15608,2629,-2996,-5297,78627,-101506,2345028,852213,4.97,5.02,0.74,7.23,15.18,355941,62014,895078
1437 勤益,12/31/1994,7316,-5316,2702,1970740,-18347,47056,9343,-56359,-43112,0,0,0,0,-23412,0,13487,10858,7862,127926,49299,2624214,898540,2.52,4.97,0.74,0.74,24.9,653474,344753,1010064
1437 勤益,12/30/1995,4635,-2681,-7997,2020672,49932,31585,48296,38953,-17406,0,0,0,0,0,-23412,12358,-1129,9729,122020,-5906,2556987,889647,1.78,2.52,7.22,0.74,20.97,536315,114733,834612
1437 勤益,12/31/1996,5794,1159,-1522,2071471,50799,100731,50483,2187,41140,0,0,0,0,0,0,5105,-7253,-8382,80898,-41122,2663759,853629,3.5,1.78,6.3,7.22,22.24,592288,168229,914265
1437 勤益,12/31/1997,7427,1633,2792,2192716,121245,172044,113160,62677,64864,0,0,0,0,0,0,10011,4906,-2347,97687,16789,2859696,824418,3.84,3.5,6.89,6.3,23.32,666980,219678,992273
1437 勤益,12/31/1998,3584,-3843,-2210,2181175,-11541,109704,-1365,-114525,-51848,0,0,0,0,0,0,22439,12428,17334,44995,-52692,2974369,819029,1.3,3.84,6.74,6.89,26.67,793194,284326,1002281
1437 勤益,12/28/1999,1839,-1745,-5588,2107728,-73447,-84988,-36768,-35403,-149928,0,0,0,0,0,0,20622,-1817,10611,44995,0,2885587,792017,-1.83,1.3,6.7,6.74,26.96,777859,252830,945103
1437 勤益,12/30/2000,943,-896,-2641,2141759,34031,-39416,21853,58621,23218,0,0,0,0,0,0,24735,4113,2296,96070,51075,3125079,882009,-2.05,-1.83,6.69,6.7,31.47,983320,589495,1020325
1437 勤益,12/31/2001,974,31,-865,2012344,-129415,-95384,-134527,-156380,-97759,0,0,0,0,0,0,35105,10370,14483,35150,-60920,3168712,932561,-1.18,-2.05,6.56,6.69,36.49,1156368,739373,900328
1437 勤益,12/31/2002,1100,126,157,2062205,49861,-79554,62523,197050,40670,0,0,0,0,0,0,31956,-3149,7221,62476,27326,3862232,1481391,0.68,-1.18,7.09,6.56,46.61,1800027,894648,1004493
1437 勤益,12/31/2003,2468,1368,1494,2739713,677508,727369,-211915,-274438,-77388,0,0,0,0,0,0,46327,14371,11222,46540,-15936,4334116,938282,1.36,0.68,24.44,7.09,36.79,1594403,1087909,1095115
1437 勤益,12/31/2004,1974,-494,874,2694699,-45014,632494,154494,366409,91971,0,0,0,0,0,0,34572,-11755,2616,48141,1601,4812902,993364,8.5,1.36,23.78,24.44,44.01,2118203,1112298,1312815
1437 勤益,12/30/2005,1923,-51,-545,2341682,-353017,-398031,-386324,-540818,-174409,6704,6704,6704,0,0,0,31589,-2983,-14738,44226,-3915,4484033,850144,-1.82,8.5,23.3,23.78,47.78,2142351,930563,1049284
1437 勤益,12/29/2006,5284,3361,3310,3203468,861786,508769,335279,721603,180785,8991,2287,8991,0,0,0,32735,1146,-1837,106020,61794,4782910,676761,11.74,-1.82,18.08,23.3,33.02,1579442,604793,1210522
1437 勤益,12/31/2007,3548,-1736,1625,3644641,441173,1302959,209062,-126217,595386,9839,848,3135,40793,40793,40793,33749,1014,2160,145905,39885,5071127,715094,9.53,11.74,24.42,18.08,28.13,1426486,717806,1175684
1437 勤益,12/31/2008,1619,-1929,-3665,3436137,-208504,232669,-252015,-461077,-587294,8446,-1393,-545,0,-40793,0,28556,-5193,-4179,117705,-28200,4484673,633562,-0.19,9.53,23.7,24.42,23.38,1048536,296225,639821
1437 勤益,12/31/2009,4619,3000,1071,3426374,-9763,-218267,45554,297569,-163508,4610,-3836,-5229,0,0,-40793,10116,-18440,-23633,101211,-16494,4363889,532242,4.28,-0.19,27.76,23.7,21.48,937515,430143,695552
1437 勤益,12/31/2010,5547,928,3928,3709798,283424,273661,159432,113878,411447,4920,310,-3526,30595,30595,30595,7308,-2808,-21248,101352,141,4574611,529091,6.19,4.28,20.67,27.76,18.9,864813,444225,704285
1437 勤益,12/30/2011,2814,-2733,-1805,3556991,-152807,130617,-127080,-286512,-172634,2230,-2690,-2380,0,-30595,0,8992,1684,-1124,38691,-62661,4422502,719958,-0.84,6.19,21.23,20.67,19.57,865511,633372,430835
1471 首利,12/28/1999,1016,NA,NA,1428593,NA,NA,118089,NA,NA,7683,NA,NA,0,NA,NA,37864,NA,NA,152796,NA,2497643,1457145,9.58,NA,23.27,NA,42.8,1069050,782689,975727
1471 首利,12/30/2000,603,-413,NA,1308974,-119619,NA,-99012,-217101,NA,8247,564,NA,0,0,NA,56283,18419,NA,554117,401321,3044274,1360985,2.23,9.58,21.55,23.27,57,1735300,1432334,1439541
1471 首利,12/31/2001,370,-233,-646,1226389,-82585,-202204,-92529,6483,-210618,2470,-5777,-5213,0,0,0,63336,7053,25472,437129,-116988,2328959,1253224,2.13,2.23,21.55,21.55,47.34,1102570,856074,871393
1471 首利,12/31/2002,860,490,257,1248453,22064,-60521,19151,111680,118163,3298,828,-4949,0,0,0,24696,-38640,-31587,122213,-314916,2278663,1411065,5.4,2.13,21.55,21.55,45.21,1030210,906169,673848
1471 首利,12/31/2003,2354,1494,1984,1323818,75365,97429,71602,52451,164131,7307,4009,4837,0,0,0,7049,-17647,-56287,316301,194088,1904713,89817,4.45,5.4,24.15,21.55,30.5,580895,580525,1631700
1471 首利,12/31/2004,2401,47,1541,1441889,118071,193436,118071,46469,98920,16947,9640,13649,0,0,0,468,-6581,-24228,470097,153796,2417569,315904,8.24,4.45,24.15,24.15,40.36,975680,973343,1769877
1471 首利,12/30/2005,6100,3699,3746,1729014,287125,405196,271440,153369,199838,25364,8417,18057,0,0,0,1465,997,-5584,283580,-186517,3016944,332607,14.95,8.24,0.04,24.15,42.69,1287930,1276053,2107183
1471 首利,12/29/2006,5090,-1010,2689,1626673,-102341,184784,-129551,-400991,-247622,18933,-6431,1986,0,0,0,6018,4553,5550,429685,146105,3280039,307928,-0.28,14.95,0.04,0.04,50.41,1653366,1646317,2410547
1471 首利,12/31/2007,4100,-990,-2000,2242974,616301,513960,22740,152291,-248700,22413,3480,-2951,0,0,0,11327,5309,9862,555277,125592,3824040,421324,2.63,-0.28,0.03,0.04,41.35,1581066,1574485,2751542
1471 首利,12/31/2008,1423,-2677,-3667,1985280,-257694,358607,-293095,-315835,-163544,14882,-7531,-4051,0,0,0,13801,2474,7783,343731,-211546,2947780,361172,-2.61,2.63,19.87,0.03,32.65,962500,946362,1616412
1471 首利,12/31/2009,6785,5362,2685,2622310,637030,379336,192602,485697,169862,10417,-4465,-11996,0,0,0,5270,-8531,-6057,464703,120972,4347379,346164,7.02,-2.61,24.05,19.87,39.68,1725069,1722049,2474236
1471 首利,12/31/2010,4049,-2736,2626,2850036,227726,864756,-127944,-320546,165151,12485,2068,-2397,0,0,0,1350,-3920,-12451,478542,13839,4038992,259783,-1.04,7.02,18.17,24.05,29.44,1188956,1186189,1920893
1471 首利,12/30/2011,2034,-2015,-4751,2887337,37301,265027,-95403,32541,-288005,9297,-3188,-1120,0,0,0,121,-1229,-5149,297673,-180869,3844193,199897,-0.75,-1.04,17.54,18.17,24.89,956856,954281,1701476
1582 信錦,12/31/2007,4606,NA,NA,1403948,NA,NA,376761,NA,NA,20857,NA,NA,249000,NA,NA,246,NA,NA,41390,NA,1692687,131718,33.77,NA,27.26,NA,17.06,288739,129512,561690
1582 信錦,12/31/2008,5825,1219,NA,3554348,2150400,NA,338773,-37988,NA,29004,8147,NA,405506,156506,NA,1219,973,NA,78544,37154,4283880,142881,15.51,33.77,6.48,27.26,17.03,729532,314075,381949
1582 信錦,12/31/2009,11439,5614,6833,3815231,260883,2411283,769484,430711,392723,50522,21518,29665,611305,205799,362305,5217,3998,4971,109724,31180,5081803,125693,17.99,15.51,25.89,6.48,24.92,1266572,818543,448429
1582 信錦,12/31/2010,6686,-4753,861,3496934,-318297,-57414,523123,-246361,184350,75641,25119,46637,476143,-135162,70637,13073,7856,11854,140392,30668,5047033,122255,10.49,17.99,21.42,25.89,30.71,1550099,1162487,544965
1582 信錦,12/30/2011,4427,-2259,-7012,3944667,447733,129436,505382,-17741,-264102,72648,-2993,22126,409915,-66228,-201390,25363,12290,20146,107021,-33371,6001085,115874,11.36,10.49,19.29,21.42,34.27,2056418,1116897,881908
2059 川湖,12/30/2005,10919,NA,NA,1391268,NA,NA,516126,NA,NA,24809,NA,NA,221712,NA,NA,1711,NA,NA,613269,NA,1740352,507046,45.55,NA,17.24,NA,20.06,349084,298765,1225380
2059 川湖,12/29/2006,11141,222,NA,1706937,315669,NA,561600,45474,NA,31714,6905,NA,234920,13208,NA,835,-876,NA,869172,255903,2108689,620316,40.9,45.55,17.74,17.24,19.05,401752,350735,1443775
2059 川湖,12/31/2007,13536,2395,2617,2185945,479008,794677,632757,71157,116631,43982,12268,19173,297505,62585,75793,22537,21702,20826,906913,37741,3462615,597529,29.65,40.9,24.22,17.74,36.87,1276670,362644,1816168
2059 川湖,12/31/2008,6908,-6628,-4233,2656904,470959,949967,786135,153378,224535,77380,33398,45666,235512,-61993,592,25059,2522,24224,1471996,565083,4037199,594288,28.3,29.65,24.65,24.22,34.19,1380295,465800,2320070
2059 川湖,12/31/2009,15162,8254,1626,3230874,573970,1044929,648442,-137693,15685,85251,7871,41269,438667,203155,141162,26513,1454,3976,1828798,356802,4973611,545260,18.94,28.3,24.28,24.65,35.04,1742737,1254566,2615516
2059 川湖,12/31/2010,13587,-1575,6679,3574165,343291,917261,704450,56008,-81685,69430,-15821,-7950,506661,67994,271149,35963,9450,10904,2086236,257438,5261653,498402,17.74,18.94,22.08,24.28,32.07,1687488,381312,2751240
2059 川湖,12/30/2011,13271,-316,-1891,3975995,401830,745121,898169,193719,249727,66895,-2535,-18356,415449,-91212,-23218,36263,300,9750,2043319,-42917,5668906,481243,19.68,17.74,25.69,22.08,29.86,1692911,1629605,2854874
2301 光寶科,12/30/1995,6899,NA,NA,2184986,NA,NA,633439,NA,NA,88037,NA,NA,73920,NA,NA,96453,NA,NA,559730,NA,7039986,234165,16.07,NA,14.68,NA,68.96,4855000,4814738,5867870
2301 光寶科,12/31/1996,12233,5334,NA,5968099,3783113,NA,782309,148870,NA,147217,59180,NA,0,-73920,NA,186354,89901,NA,1412164,852434,10531949,413166,12.3,16.07,19.93,14.68,43.33,4563850,2737387,7697608
2301 光寶科,12/31/1997,19827,7594,12928,7005137,1037038,4820151,1086301,303992,452862,301740,154523,213703,166253,166253,92333,272575,86221,176122,3350566,1938402,19325736,1490929,6.17,12.3,15.02,19.93,63.75,12320599,5750079,13410931
2301 光寶科,12/31/1998,11152,-8675,-1081,7965088,959951,1996989,-1051002,-2137303,-1833311,232791,-68949,85574,0,-166253,0,587067,314492,400713,4172638,822072,19266636,938879,-0.35,6.17,12.25,15.02,58.66,11301548,5758320,11982234
2301 光寶科,12/28/1999,16580,5428,-3247,8590280,625192,1585143,601438,1652440,-484863,182176,-50615,-119564,0,0,-166253,496295,-90772,223720,1377251,-2795387,18259122,936414,5.75,-0.35,12.25,12.25,52.95,9668842,4717569,8744879
2301 光寶科,12/30/2000,12862,-3718,1710,11219489,2629209,3254401,3022034,2420596,4073036,208502,26326,-24289,282700,282700,282700,472339,-23956,-114728,5910816,4533565,26191754,1099845,11.1,5.75,17,12.25,57.16,14972265,8892745,13353779
2301 光寶科,12/31/2001,32348,19486,15768,14041077,2821588,5450797,2350332,-671702,1748894,310438,101936,128262,962935,680235,962935,521795,49456,25500,7826608,1915792,31291444,1237896,10.22,11.1,23.14,17.0,55.13,17250367,14066794,17390233
2301 光寶科,12/31/2002,74659,42311,61797,40869523,26828446,29650034,5126750,2776418,2104716,818646,508208,610144,2648159,1685224,2365459,268132,-253663,-204207,8294860,468252,68418546,7387659,10.31,10.22,7.15,23.14,40.27,27549023,25926702,34501324
2301 光寶科,12/31/2003,80916,6257,48568,44471901,3602378,30430824,7280863,2154113,4930531,1873467,1054821,1563029,3124297,476138,2161362,154189,-113943,-367606,10840163,2545303,80794717,4022951,9.02,10.31,15.1,7.15,44.96,36322816,31469410,45884378
2301 光寶科,12/31/2004,85161,4245,10502,47738847,3266946,6869324,7557177,276314,2430427,2031020,157553,1212374,5006440,1882143,2358281,257446,103257,-10686,20056897,9216734,90447203,3349498,9.48,9.02,10.06,15.1,47.22,42708356,32153335,55045878
2301 光寶科,12/30/2005,117359,32198,36443,52850386,5111539,8378485,8732358,1175181,1451495,2171642,140622,298175,6626205,1619765,3501908,181376,-76070,27187,20918426,861529,100091531,2820418,10.29,9.48,14.4,10.06,47.2,47241145,43143634,63366832
2301 光寶科,12/29/2006,128102,10743,42941,62950956,10100570,15212109,8401959,-330399,844782,1974739,-196903,-56281,6984407,358202,1977967,547325,365949,289879,21103215,184789,105707970,3257387,10.34,10.29,16.15,14.4,40.45,42757014,39708265,60356002
2301 光寶科,12/31/2007,123400,-4702,6041,61592791,-1358165,8742405,8490217,88258,-242141,1764450,-210289,-407192,6431638,-552769,-194567,580600,33275,399224,1621592,-19481623,119656140,3522541,9.04,10.34,9.7,16.15,48.53,58063349,43488780,47423492
2301 光寶科,12/31/2008,47857,-75543,-80245,57790409,-3802382,-5160547,4419433,-4070784,-3982526,1274662,-489788,-700077,3080773,-3350865,-3903634,640063,59463,92738,6587220,4965628,104712477,3170224,4.8,9.04,25.04,9.7,44.81,46922068,29423246,32989688
2301 光寶科,12/31/2009,108706,60849,-14694,64243062,6452653,2650271,7051841,2632408,-1438376,1047373,-227289,-717077,5021541,1940768,-1410097,315742,-324321,-264858,6198826,-388394,112748592,6010989,7.22,4.8,19.23,25.04,43.02,48505530,32874130,38700140
2301 光寶科,12/31/2010,91620,-17086,43763,68346563,4103501,10556154,8986457,1934616,4567024,1292289,244916,17627,6469637,1448096,3388864,279608,-36134,-360455,6323605,124779,116127765,5625858,8.85,7.22,12.98,19.23,41.15,47781202,35332624,39611328
2301 光寶科,12/30/2011,78770,-12850,-29936,68927222,580659,4684160,7225925,-1760532,174084,1422138,129849,374765,5174335,-1295302,152794,291441,11833,-24301,9750349,3426744,113485357,5382464,7.3,8.85,13.98,12.98,39.26,44558135,27852422,34785028
2302 麗正,12/28/1991,2618,NA,NA,889948,NA,NA,-147051,NA,NA,20844,NA,NA,0,NA,NA,45253,NA,NA,8712,NA,1754871,235815,-4.96,NA,0,NA,49.29,864923,794192,1115570
2302 麗正,12/29/1992,1294,-1324,NA,747705,-142243,NA,-144519,2532,NA,14676,-6168,NA,0,0,NA,45518,265,NA,10800,2088,1554169,152846,-4.99,-4.96,0,0.0,51.89,806464,771370,925600
2302 麗正,12/31/1993,1875,581,-743,882685,134980,-7263,1603,146122,148654,10838,-3838,-10006,0,0,0,48828,3310,3575,24344,13544,1557672,229793,2.21,-4.99,2.35,0.0,43.33,674987,588748,751002
2302 麗正,12/31/1994,3999,2124,2705,959902,77217,212197,59686,58083,204205,7950,-2888,-6726,0,0,0,36054,-12774,-9464,5621,-18723,1360365,204036,6.42,2.21,0,2.35,29.44,400463,321756,583818
2302 麗正,12/30/1995,1628,-2371,-247,688024,-271878,-194661,-333834,-393520,-335437,8320,370,-2518,0,0,0,20992,-15062,-27836,7536,1915,1330363,200507,-14.37,6.42,0,0.0,48.28,642339,553945,522989
2302 麗正,12/31/1996,1399,-229,-2600,448956,-239068,-510946,-250716,83118,-310402,10241,1921,2291,0,0,0,29312,8320,-6742,2034,-5502,1060023,212372,-1.99,-14.37,0,0.0,57.65,611067,477984,152300
2302 麗正,12/31/1997,1232,-167,-396,424666,-24290,-263358,54857,305573,388691,9120,-1121,800,0,0,0,24317,-4995,3325,6817,4783,1256122,297734,4.38,-1.99,12.74,0.0,66.19,831456,717209,367573
2302 麗正,12/31/1998,4846,3614,3447,2424051,1999385,1975095,292786,237929,543502,14221,5101,3980,32166,32166,32166,15116,-9201,-14196,25295,18478,3188419,835813,13.55,4.38,11.03,12.74,23.97,764368,656228,849885
2302 麗正,12/28/1999,7636,2790,6404,4994794,2570743,4570128,289685,-3101,234828,17979,3758,8859,83785,51619,83785,53137,38021,28820,501789,476494,6183400,1501792,8.75,13.55,4.28,11.03,19.22,1188606,1051292,1622408
2302 麗正,12/30/2000,1279,-6357,-3567,4958755,-36039,2534704,6869,-282816,-285917,12364,-5615,-1857,0,-83785,-32166,37427,-15710,22311,513849,12060,5915141,1378757,3.61,8.75,3.68,4.28,16.17,956386,833088,2211532
2302 麗正,12/31/2001,1842,563,-5794,5008627,49872,13833,-69403,-76272,-359088,11267,-1097,-6712,0,0,-83785,21569,-15858,-31568,188717,-325132,5916999,1394934,2.33,3.61,3.69,3.68,15.35,908372,798354,1822681
2302 麗正,12/31/2002,1717,-125,438,4117831,-890796,-840924,-944761,-875358,-951630,8400,-2867,-3964,0,0,0,17932,-3637,-19495,32201,-156516,4975478,1300644,-15.97,2.33,3.68,3.69,17.24,857647,738104,1418564
2302 麗正,12/31/2003,1592,-125,-250,3644094,-473737,-1364533,-437815,506946,-368412,7130,-1270,-4137,0,0,0,11235,-6697,-10334,27781,-4420,4520685,1206456,-7.66,-15.97,3.88,3.68,19.39,876591,761224,1276781
2302 麗正,12/31/2004,990,-602,-727,2970198,-673896,-1147633,-579208,-141393,365553,9137,2007,737,0,0,0,9455,-1780,-8477,30726,2945,3795423,1053789,-9.84,-7.66,3.68,3.88,21.74,825225,676898,569107
2302 麗正,12/30/2005,1018,28,-574,3145943,175745,-498151,3089,582297,440904,9446,309,2316,0,0,0,12584,3129,1349,39963,9237,3903335,1030075,1.8,-9.84,0,3.68,19.4,757392,429627,455174
2302 麗正,12/29/2006,2258,1240,1268,2447059,-698884,-523139,-838975,-842064,-259767,8400,-1046,-737,0,0,0,10444,-2140,989,15355,-24608,3153116,1014544,-22.16,1.8,10.56,0.0,22.39,706057,383507,296752
2302 麗正,12/31/2007,989,-1269,-29,1954300,-492759,-1191643,-550500,288475,-553589,8466,66,-980,0,0,0,7507,-2937,-5077,21618,6263,2650010,839791,-12.91,-22.16,10.58,10.56,26.25,695710,364247,285856
2302 麗正,12/31/2008,434,-555,-1824,1827133,-127167,-619926,-299433,251067,539542,4612,-3854,-3788,0,0,0,6578,-929,-3866,101158,79540,2419235,833674,-11.02,-12.91,17.13,10.58,24.47,592102,367671,242903
2302 麗正,12/31/2009,1110,676,121,1808856,-18277,-145444,4942,304375,555442,1016,-3596,-7450,0,0,0,2845,-3733,-4662,13304,-87854,2275077,829877,0.92,-11.02,24.85,17.13,20.49,466221,271762,116528
2302 麗正,12/31/2010,1190,80,756,1784052,-24804,-43081,39554,34612,338987,1580,564,-3032,7866,7866,7866,1125,-1720,-5453,13252,-52,2300359,910879,2.2,0.92,39.18,24.85,22.44,516307,277504,137073
2302 麗正,12/30/2011,608,-582,-502,1757314,-26738,-51542,-80133,-119687,-85075,2106,526,1090,0,-7866,0,706,-419,-2139,8178,-5074,2263513,920257,-3.13,2.2,29.33,39.18,22.36,506199,328592,112404
2303 聯電,12/28/1991,16286,NA,NA,6553471,NA,NA,601207,NA,NA,469148,NA,NA,0,NA,NA,255371,NA,NA,1864303,NA,10293380,4574814,17.99,NA,0,NA,36.33,3739909,1855311,5064718
2303 聯電,12/29/1992,18237,1951,NA,8762628,2209157,NA,1227832,626625,NA,520325,51177,NA,479925,479925,NA,173007,-82364,NA,3284628,1420325,12317616,4861084,21.86,17.99,0,0.0,28.86,3554988,1905647,6326352
2303 聯電,12/31/1993,55988,37751,39702,10668529,1905901,4115058,2458025,1230193,1856818,1007527,487202,538379,359284,-120641,359284,143919,-29088,-111452,3663520,378892,15065956,5356842,25.96,21.86,0,0.0,29.19,4397427,2885077,7569634
2303 聯電,12/31/1994,101147,45159,82910,19139408,8470879,10376780,6492708,4034683,5264876,1095311,87784,574986,404960,45676,-74965,367489,223570,194482,11546030,7882510,28151819,7836810,38.07,25.96,0,0.0,32.01,9012411,2898361,16657204
2303 聯電,12/30/1995,87956,-13191,31968,31866162,12726754,21197633,13440682,6947974,10982657,1508771,413460,501244,0,-404960,-359284,297579,-69910,153660,11123303,-422727,47875521,16781041,37.22,38.07,0,0.0,33.44,16009359,5926158,19672466
2303 聯電,12/31/1996,105399,17443,4252,46507700,14641538,27368292,7646896,-5793786,1154188,1812330,303559,717019,0,0,-404960,901398,603819,533909,14013498,2890195,66638344,22057420,16.97,37.22,2.32,0.0,30.21,20130644,6996309,26079437
2303 聯電,12/31/1997,263536,158137,175580,66762869,20255169,34896707,9739552,2092656,-3701130,1759620,-52710,250849,0,0,0,951196,49798,653617,19046750,5033252,87385205,23503948,13.92,16.97,6.39,2.32,23.6,20622336,8818905,29820936
2303 聯電,12/31/1998,220852,-42684,115453,76536749,9773880,30029049,4407021,-5332531,-3239875,1933715,174095,121385,0,0,0,1647178,695982,745780,25251034,6204284,104037448,25386540,8.27,13.92,8.24,6.39,26.43,27500699,8384035,33964353
2303 聯電,12/28/1999,743462,522610,479926,119311648,42774899,52548779,10497892,6090871,758340,2674143,740428,914523,0,0,0,989357,-657821,38161,11083601,-14167433,146139041,36728053,12.03,8.27,8.51,8.24,18.36,26827393,17190521,20549107
2303 聯電,12/30/2000,538011,-205451,317159,238001653,118690005,161464904,50780378,40282486,46373357,5953962,3279819,4020247,0,0,0,2343013,1353656,695835,54107647,43024046,311128263,152181162,30.85,12.03,11.1,8.51,23.5,73126610,35853347,82785436
2303 聯電,12/31/2001,680120,142109,-63342,233465699,-4535954,114154051,-3157302,-53937680,-13655194,8580775,2626813,5906632,0,0,0,2488239,145226,1498882,58517186,4409539,317384945,155211838,6.06,30.85,10.85,11.1,26.44,83919246,26936406,77251780
2303 聯電,12/31/2002,326519,-353601,-211492,217433363,-16032336,-20568290,7072032,10229334,-43708346,7031971,-1548804,1078009,0,0,0,1418142,-1070097,-924871,57192459,-1324727,297332646,146075886,9.11,6.06,11,10.85,26.87,79899283,20949418,86658337
2303 聯電,12/31/2003,469695,143176,-210425,232241924,14808561,-1223775,14020257,6948225,17177559,5696767,-1335204,-2884008,0,0,0,1234134,-184008,-1254105,92865557,35673098,320113838,117184749,12.27,9.11,16.35,11.0,27.45,87871914,32751363,122306834
2303 聯電,12/31/2004,364735,-104960,38216,266382754,34140830,48949391,31843381,17823124,24771349,6524176,827409,-507795,1758736,1758736,1758736,1179145,-54989,-238997,83347329,-9518228,329563491,137355251,15.47,12.27,15.36,16.35,19.17,63180737,23277031,110373653
2303 聯電,12/30/2005,368181,3446,-101514,258283553,-8099201,26041629,7026692,-24816689,-6993565,8358430,1834254,2661663,7161267,5402531,7161267,918173,-260972,-315961,96596623,13249294,326221237,149809616,14.2,15.47,14.29,15.36,20.83,67937684,28303962,128267746
2303 聯電,12/29/2006,387429,19248,22694,291164871,32881318,24782117,32619313,25592621,775932,9237616,879186,2713440,12461529,5300262,10702793,630738,-287435,-548407,83394802,-13201821,355228793,142647435,15.99,14.2,14.47,14.29,18.03,64063922,30060546,118430216
2303 聯電,12/31/2007,266272,-121157,-101909,236466889,-54697982,-21816664,16961762,-15657551,9935070,9487543,249927,1129113,9382647,-3078882,2221380,162316,-468422,-755857,37452629,-45942173,290762567,129814652,15.71,15.99,16.66,14.47,18.67,54295678,43058875,68252759
2303 聯電,12/31/2008,96499,-169773,-290930,184676169,-51790720,-106488702,-22320075,-39281837,-54939388,8199247,-1288296,-1038369,0,-9382647,-12461529,61418,-100898,-569320,36123738,-1328891,207988236,100443170,11.15,15.71,18.63,16.66,11.21,23312067,11628678,54614570
2303 聯電,12/31/2009,223389,126890,-42883,213598321,28922152,-22868568,3874028,26194103,-13087734,8036567,-162680,-1450976,6233002,6233002,-3149645,56438,-4980,-105878,52792105,16668367,251890190,87472086,16.3,11.15,19.43,18.63,15.2,38291869,34028756,88293083
2303 聯電,12/31/2010,211702,-11687,115203,219337283,5738962,34661114,23898905,20024877,46218980,8578977,542410,379730,14033575,7800573,14033575,1280,-55158,-60138,32934638,-19857467,263360891,118352111,21.44,16.3,15.49,19.43,16.72,44023608,39639546,70535220
2303 聯電,12/30/2011,166171,-45531,-57218,207737087,-11600196,-5861234,10609695,-13289210,6735667,8976209,397232,939642,6316435,-7717140,83433,125499,124219,69061,30829409,-2105229,258293330,130950804,15.74,21.44,15.37,15.49,19.57,50556243,31748618,60765171
2305 全友,12/28/1991,7581,NA,NA,2143038,NA,NA,259634,NA,NA,108532,NA,NA,0,NA,NA,36035,NA,NA,1312974,NA,3684908,339894,11.85,NA,0,NA,41.84,1541870,793992,2904519
2305 全友,12/29/1992,5132,-2449,NA,2188231,45193,NA,54767,-204867,NA,100405,-8127,NA,0,0,NA,106573,70538,NA,1070528,-242446,3233595,497925,5.86,11.85,0,0.0,32.33,1045364,215100,2048592
2305 全友,12/31/1993,9199,4067,1618,2426442,238211,283404,221435,166668,-38199,95698,-4707,-12834,82882,82882,82882,83163,-23410,47128,982986,-87542,3738460,506683,17.74,5.86,0,0.0,35.1,1312018,406171,2351767
2305 全友,12/31/1994,7425,-1774,2293,2460239,33797,272008,124456,-96979,69689,100412,4714,7,0,-82882,0,85612,2449,-20961,1031978,48992,3871288,476722,5.94,17.74,0,0.0,36.45,1411049,397021,1875005
2305 全友,12/30/1995,7436,11,-1763,2870947,410708,444505,380192,255736,158757,183605,83193,87907,0,0,-82882,94084,8472,10921,618281,-413697,4881682,496296,10.65,5.94,0,0.0,41.19,2010735,744043,2309921
2305 全友,12/31/1996,11058,3622,3633,3545353,674406,1085114,686885,306693,562429,293521,109916,193109,0,0,0,66700,-27384,-18912,346045,-272236,4473976,529388,16.9,10.65,18.67,0.0,20.76,928623,676873,1587535
2305 全友,12/31/1997,12563,1505,5127,4678882,1133529,1807935,614979,-71906,234787,341824,48303,158219,0,0,0,67721,1021,-26363,776358,430313,7020552,676450,11.82,16.9,15.37,18.67,33.35,2341670,1259251,2676907
2305 全友,12/31/1998,7592,-4971,-3466,3747034,-931848,201681,-489568,-1104547,-1176453,424952,83128,131431,0,0,0,143544,75823,76844,697478,-78880,7029124,449413,-6.65,11.82,17.02,15.37,46.69,3282090,987685,2327595
2305 全友,12/28/1999,7717,125,-4846,3819081,72047,-859801,-1116614,-627046,-1731593,354126,-70826,12302,0,0,0,177345,33801,109624,496051,-201427,6552898,391902,-21.28,-6.65,20.32,17.02,41.72,2733817,1022461,2120641
2305 全友,12/30/2000,3019,-4698,-4573,3663684,-155397,-83350,228858,1345472,718426,260461,-93665,-164491,0,0,0,138847,-38498,-4697,936829,440778,5907585,333550,-7.24,-21.28,19.06,20.32,37.98,2243901,1242051,2179546
2305 全友,12/31/2001,4063,1044,-3654,2753086,-910598,-1065995,-1479675,-1708533,-363061,123791,-136670,-230335,0,0,0,128327,-10520,-49018,452871,-483958,5706319,246538,-23.13,-7.24,19.06,19.06,51.75,2953233,2373934,2457914
